Ensembl Gene ID,Ensembl Transcript ID,Transcript Start,Transcript End,GC content,Chromosome Name
ENSG00000261206,ENST00000565815,76506531,76509268,36.71,13
ENSG00000267210,ENST00000587430,35033571,35034295,39.59,19
ENSG00000224933,ENST00000448806,76587159,76588637,42.39,13
ENSG00000256383,ENST00000536682,35166998,35168486,48.69,19
ENSG00000267767,ENST00000587150,35282724,35307804,42.19,19
ENSG00000267767,ENST00000590963,35307061,35323773,42.19,19
ENSG00000261191,ENST00000565366,36933387,36961298,36.28,15
ENSG00000223518,ENST00000430593,37090797,37110660,37.72,15
ENSG00000223518,ENST00000563423,37109378,37110314,37.72,15
ENSG00000261754,ENST00000561778,35302738,35305249,41.28,19
ENSG00000118903,ENST00000426582,77502200,77503034,42.99,13
ENSG00000203442,ENST00000366260,35331917,35332118,53.47,19
ENSG00000213084,ENST00000392228,35343055,35343524,56.60,19
ENSG00000253950,ENST00000424536,35500023,35501430,60.51,19
ENSG00000260200,ENST00000569828,37109377,37110314,44.35,15
ENSG00000203403,ENST00000366225,35628549,35630484,58.73,19
ENSG00000233873,ENST00000424827,77555310,77556051,41.24,13
ENSG00000266940,ENST00000592357,35628549,35630484,58.73,19
ENSG00000221857,ENST00000586871,35629728,35634266,55.33,19
ENSG00000221857,ENST00000592174,35629735,35642239,55.33,19
ENSG00000259280,ENST00000558089,37168580,37178734,45.22,15
ENSG00000259280,ENST00000560602,37171963,37173868,45.22,15
ENSG00000259280,ENST00000561259,37173219,37179236,45.22,15
ENSG00000228002,ENST00000436565,77559003,77564724,43.24,13
ENSG00000262497,ENST00000577135,35723194,35723906,54.00,19
ENSG00000205188,ENST00000441942,35897487,35900395,50.88,19
ENSG00000259638,ENST00000560169,37316133,37322426,38.85,15
ENSG00000233214,ENST00000413796,35914964,35915554,53.64,19
ENSG00000259460,ENST00000559509,37391540,37392374,44.91,15
ENSG00000236051,ENST00000422231,77649649,77661911,35.49,13
ENSG00000236051,ENST00000450627,77649649,77661911,35.49,13
ENSG00000236051,ENST00000448470,77649653,77661832,35.49,13
ENSG00000232680,ENST00000428426,35923859,35924720,52.55,19
ENSG00000236144,ENST00000589137,36031640,36036931,56.80,19
ENSG00000236144,ENST00000590717,36031641,36035942,56.80,19
ENSG00000236144,ENST00000590125,36032196,36034041,56.80,19
ENSG00000236144,ENST00000588286,36032484,36036394,56.80,19
ENSG00000236144,ENST00000444728,36032862,36036405,56.80,19
ENSG00000259434,ENST00000561054,37657228,37783009,37.27,15
ENSG00000243122,ENST00000476363,37782892,37783304,59.56,15
ENSG00000259225,ENST00000558081,38276967,38333188,39.58,15
ENSG00000259225,ENST00000559992,38285610,38317219,39.58,15
ENSG00000259225,ENST00000557883,38296947,38317219,39.58,15
ENSG00000259225,ENST00000558897,38332594,38354541,39.58,15
ENSG00000224910,ENST00000453968,36088809,36092403,48.23,19
ENSG00000267626,ENST00000589603,36099187,36103568,49.84,19
ENSG00000226510,ENST00000443196,36158850,36164193,51.48,19
ENSG00000229521,ENST00000428716,77654646,77655325,42.35,13
ENSG00000224347,ENST00000456280,78173932,78180651,36.96,13
ENSG00000224347,ENST00000457528,78173890,78180686,36.96,13
ENSG00000267190,ENST00000589501,36174680,36175103,54.72,19
ENSG00000226120,ENST00000450758,36198272,36199158,50.39,19
ENSG00000236914,ENST00000559232,38361682,38364103,44.38,15
ENSG00000236914,ENST00000560819,38363828,38364291,44.38,15
ENSG00000236914,ENST00000434223,38363828,38364884,44.38,15
ENSG00000236914,ENST00000560198,38364219,38365160,44.38,15
ENSG00000267120,ENST00000589807,36230153,36236333,57.47,19
ENSG00000267439,ENST00000585365,36237958,36239189,51.77,19
ENSG00000267439,ENST00000591091,36238126,36244316,51.77,19
ENSG00000227922,ENST00000450718,78233548,78233799,43.65,13
ENSG00000228011,ENST00000420956,78236635,78237275,63.49,13
ENSG00000267328,ENST00000587767,36245467,36246391,57.41,19
ENSG00000225579,ENST00000422405,78402357,78408085,38.70,13
ENSG00000267049,ENST00000589397,36260046,36261930,48.70,19
ENSG00000259380,ENST00000561320,38431796,38519066,38.76,15
ENSG00000259380,ENST00000561161,38434461,38519088,38.76,15
ENSG00000225872,ENST00000433059,36279778,36288787,58.06,19
ENSG00000225872,ENST00000564335,36282005,36288740,58.06,19
ENSG00000225872,ENST00000567313,36282869,36288777,58.06,19
ENSG00000233379,ENST00000435281,78513297,78519009,35.34,13
ENSG00000259192,ENST00000559695,38750961,38751741,52.88,15
ENSG00000267763,ENST00000591817,36342553,36360189,56.05,19
ENSG00000259326,ENST00000560231,38795054,38797182,36.31,15
ENSG00000267403,ENST00000589974,36378574,36385454,49.69,19
ENSG00000267786,ENST00000592518,36438017,36450094,52.03,19
ENSG00000236133,ENST00000452933,78563507,78564781,33.49,13
ENSG00000267307,ENST00000589524,36440386,36442421,51.62,19
ENSG00000259598,ENST00000559544,38816271,38826856,42.64,15
ENSG00000267113,ENST00000588406,36448023,36448284,40.84,19
ENSG00000229249,ENST00000438327,78605071,78611354,35.01,13
ENSG00000229249,ENST00000414743,78604115,78611354,35.01,13
ENSG00000267388,ENST00000587412,36451414,36454965,46.48,19
ENSG00000248101,ENST00000473572,36499540,36505137,56.48,19
ENSG00000259747,ENST00000560203,38964048,38981392,42.69,15
ENSG00000259747,ENST00000557946,38964056,38970209,42.69,15
ENSG00000267698,ENST00000586962,36505410,36536874,51.74,19
ENSG00000266974,ENST00000592532,36605264,36606048,61.40,19
ENSG00000259731,ENST00000560675,39048755,39051614,37.06,15
ENSG00000266902,ENST00000589270,36618669,36620042,54.15,19
ENSG00000233364,ENST00000430549,78763743,78848472,35.01,13
ENSG00000267005,ENST00000591692,36664308,36664755,47.54,19
ENSG00000235625,ENST00000435156,78849855,78851649,43.62,13
ENSG00000267053,ENST00000586345,36795482,36802694,60.02,19
ENSG00000267053,ENST00000586488,36795523,36803570,60.02,19
ENSG00000267053,ENST00000590845,36798100,36803562,60.02,19
ENSG00000267053,ENST00000586340,36801260,36803564,60.02,19
ENSG00000267053,ENST00000593173,36802446,36803570,60.02,19
ENSG00000259345,ENST00000560197,39157523,39410914,38.89,15
ENSG00000259345,ENST00000561058,39177671,39566084,38.89,15
ENSG00000259345,ENST00000560484,39178835,39713176,38.89,15
ENSG00000259345,ENST00000558209,39363772,39719396,38.89,15
ENSG00000259345,ENST00000559318,39591540,39713152,38.89,15
ENSG00000259345,ENST00000558277,39711231,39712910,38.89,15
ENSG00000232677,ENST00000590657,36803969,36806639,45.72,19
ENSG00000232677,ENST00000585356,36803969,36822609,45.72,19
ENSG00000232677,ENST00000449434,36803979,36821349,45.72,19
ENSG00000232677,ENST00000412740,36806262,36821394,45.72,19
ENSG00000232677,ENST00000427868,36806478,36813130,45.72,19
ENSG00000232677,ENST00000590622,36810618,36822620,45.72,19
ENSG00000232677,ENST00000438368,36810653,36822610,45.72,19
ENSG00000232677,ENST00000591372,36815839,36822551,45.72,19
ENSG00000229865,ENST00000429803,78996958,78997327,40.00,13
ENSG00000224686,ENST00000452014,79062317,79062648,37.65,13
ENSG00000234377,ENST00000560584,79152611,79193239,42.84,13
ENSG00000234377,ENST00000444769,79152612,79181137,42.84,13
ENSG00000234377,ENST00000560209,79179434,79190097,42.84,13
ENSG00000266973,ENST00000587018,36868930,36869734,45.59,19
ENSG00000259278,ENST00000560709,39311434,39317119,39.68,15
ENSG00000237109,ENST00000418453,79335310,79335786,42.35,13
ENSG00000267363,ENST00000589968,36870253,36871814,47.57,19
ENSG00000267142,ENST00000589470,36912438,36913436,58.06,19
ENSG00000259423,ENST00000558255,39459940,39472127,39.81,15
ENSG00000259423,ENST00000560259,39460009,39462008,39.81,15
ENSG00000259423,ENST00000560129,39468966,39472231,39.81,15
ENSG00000267309,ENST00000592087,36980551,36981942,57.69,19
ENSG00000267091,ENST00000593270,36987818,36989061,55.39,19
ENSG00000225427,ENST00000446391,79361454,79366442,37.66,13
ENSG00000228629,ENST00000446262,37019220,37026137,43.73,19
ENSG00000259450,ENST00000560743,39480639,39486510,39.00,15
ENSG00000215357,ENST00000400121,79423366,79425343,41.51,13
ENSG00000233527,ENST00000475219,37063972,37085610,42.20,19
ENSG00000233527,ENST00000448373,37064279,37068817,42.20,19
ENSG00000233527,ENST00000592880,37065720,37085610,42.20,19
ENSG00000233527,ENST00000494214,37068130,37085610,42.20,19
ENSG00000259447,ENST00000558245,39592619,39602983,37.51,15
ENSG00000259447,ENST00000558948,39599397,39602960,37.51,15
ENSG00000259269,ENST00000558846,39764904,39765805,41.05,15
ENSG00000259269,ENST00000560552,39765474,39771579,41.05,15
ENSG00000259269,ENST00000560815,39771537,39773407,41.05,15
ENSG00000266935,ENST00000585467,37119695,37121092,42.78,19
ENSG00000225975,ENST00000433232,37176342,37178351,47.16,19
ENSG00000225975,ENST00000425254,37176367,37178312,47.16,19
ENSG00000225975,ENST00000590952,37177329,37178339,47.16,19
ENSG00000259390,ENST00000558818,39804607,39806326,39.88,15
ENSG00000259390,ENST00000559570,39804683,39812055,39.88,15
ENSG00000230584,ENST00000432974,79483054,79484677,45.32,13
ENSG00000267353,ENST00000588717,37264614,37266810,43.65,19
ENSG00000259279,ENST00000560769,39885781,39886432,47.85,15
ENSG00000267254,ENST00000587413,37288420,37293554,40.52,19
ENSG00000267254,ENST00000589556,37288427,37293102,40.52,19
ENSG00000267254,ENST00000588906,37288465,37319003,40.52,19
ENSG00000267254,ENST00000587278,37292111,37319017,40.52,19
ENSG00000236277,ENST00000452282,79664918,79668254,39.50,13
ENSG00000259580,ENST00000558616,40062760,40093534,41.23,15
ENSG00000226670,ENST00000416374,79740254,79741020,36.90,13
ENSG00000243297,ENST00000496160,37392644,37393019,46.01,19
ENSG00000261136,ENST00000564211,40074772,40077818,44.63,15
ENSG00000227354,ENST00000456602,79980444,79997090,38.90,13
ENSG00000267345,ENST00000590376,37566015,37569507,43.92,19
ENSG00000259432,ENST00000559899,40105424,40107630,37.74,15
ENSG00000246863,ENST00000499797,40213243,40217100,41.23,15
ENSG00000246863,ENST00000558675,40213271,40218081,41.23,15
ENSG00000267672,ENST00000588369,37582243,37583466,41.34,19
ENSG00000267437,ENST00000587645,37619581,37632542,41.38,19
ENSG00000232132,ENST00000457171,80051499,80055366,42.22,13
ENSG00000226686,ENST00000438770,37742814,37754664,44.46,19
ENSG00000226686,ENST00000591116,37742824,37756375,44.46,19
ENSG00000226686,ENST00000592712,37742828,37754515,44.46,19
ENSG00000226686,ENST00000592100,37746801,37756433,44.46,19
ENSG00000226686,ENST00000588904,37746818,37756377,44.46,19
ENSG00000226686,ENST00000587477,37747300,37756437,44.46,19
ENSG00000259389,ENST00000559984,40243642,40243909,45.90,15
ENSG00000227676,ENST00000450187,80140881,80144983,41.85,13
ENSG00000248508,ENST00000504245,40331512,40359491,49.25,15
ENSG00000248508,ENST00000560341,40331550,40349184,49.25,15
ENSG00000248508,ENST00000559012,40356588,40357906,49.25,15
ENSG00000229011,ENST00000457858,80378553,80379820,37.38,13
ENSG00000267605,ENST00000588763,37756841,37762290,57.56,19
ENSG00000267605,ENST00000586324,37756843,37758095,57.56,19
ENSG00000267605,ENST00000590889,37756849,37759886,57.56,19
ENSG00000267605,ENST00000586442,37756972,37762420,57.56,19
ENSG00000228281,ENST00000454710,80422463,80422784,43.17,13
ENSG00000229175,ENST00000427918,80446721,80492079,38.96,13
ENSG00000259584,ENST00000560376,40367405,40370905,46.04,15
ENSG00000267682,ENST00000592319,37828138,37828645,51.38,19
ENSG00000259409,ENST00000559022,40381033,40381587,56.04,15
ENSG00000267381,ENST00000591976,37978901,37979554,30.43,19
ENSG00000227862,ENST00000448627,81193233,81194202,42.68,13
ENSG00000266916,ENST00000588845,37988063,37997526,44.47,19
ENSG00000266916,ENST00000585890,37988066,37989077,44.47,19
ENSG00000266916,ENST00000589025,37988259,37997869,44.47,19
ENSG00000266916,ENST00000585397,37988265,37997169,44.47,19
ENSG00000266916,ENST00000587060,37996481,37997948,44.47,19
ENSG00000259239,ENST00000559747,40425969,40427415,38.77,15
ENSG00000260648,ENST00000568093,40524283,40528308,50.22,15
ENSG00000226683,ENST00000429776,81228890,81231128,48.59,13
ENSG00000259307,ENST00000559520,40592871,40594021,50.91,15
ENSG00000231222,ENST00000439608,81462483,81463002,42.12,13
ENSG00000244705,ENST00000471253,40604553,40605490,52.88,15
ENSG00000267115,ENST00000586176,37994808,37995367,42.14,19
ENSG00000259198,ENST00000559030,40604816,40608835,48.68,15
ENSG00000180458,ENST00000316807,38036372,38040073,42.33,19
ENSG00000259330,ENST00000560415,40617417,40618916,42.13,15
ENSG00000267470,ENST00000591430,38039816,38076660,41.02,19
ENSG00000267470,ENST00000592575,38039830,38040516,41.02,19
ENSG00000267470,ENST00000585578,38039849,38078249,41.02,19
ENSG00000267470,ENST00000586139,38039853,38078249,41.02,19
ENSG00000267470,ENST00000589802,38039869,38076337,41.02,19
ENSG00000267470,ENST00000592392,38039877,38076357,41.02,19
ENSG00000267470,ENST00000590838,38042273,38078249,41.02,19
ENSG00000267470,ENST00000586013,38042274,38076275,41.02,19
ENSG00000267470,ENST00000589750,38042279,38074462,41.02,19
ENSG00000267470,ENST00000587121,38042314,38076478,41.02,19
ENSG00000267470,ENST00000588382,38042507,38051776,41.02,19
ENSG00000267470,ENST00000591177,38060844,38066724,41.02,19
ENSG00000229246,ENST00000456588,81617805,81618577,41.91,13
ENSG00000259368,ENST00000558421,40661126,40661841,61.73,15
ENSG00000259714,ENST00000561261,40664026,40664677,47.85,15
ENSG00000260094,ENST00000567258,81800000,81801118,34.85,13
ENSG00000261374,ENST00000567002,40666599,40668192,45.61,15
ENSG00000237148,ENST00000446367,81847026,81847305,40.36,13
ENSG00000259364,ENST00000558601,40745643,40746838,53.43,15
ENSG00000229309,ENST00000458480,81857308,81876542,34.40,13
ENSG00000259211,ENST00000559730,40756392,40758925,55.56,15
ENSG00000214182,ENST00000393073,82264203,82264535,51.05,13
ENSG00000244251,ENST00000489027,40772951,40773514,40.78,15
ENSG00000267319,ENST00000589357,38184181,38184465,45.26,19
ENSG00000237099,ENST00000426437,83397266,83398271,44.04,13
ENSG00000267152,ENST00000588040,38219487,38221544,35.52,19
ENSG00000259536,ENST00000561460,40780240,40850183,45.48,15
ENSG00000259536,ENST00000561039,40800223,40845449,45.48,15
ENSG00000267422,ENST00000591908,38270326,38283412,43.57,19
ENSG00000267422,ENST00000587765,38282412,38283505,43.57,19
ENSG00000259254,ENST00000559841,40935131,40939055,38.68,15
ENSG00000267640,ENST00000589653,38307999,38310935,41.97,19
ENSG00000267640,ENST00000590433,38308051,38317278,41.97,19
ENSG00000267640,ENST00000592103,38308125,38317048,41.97,19
ENSG00000267640,ENST00000587248,38308566,38316851,41.97,19
ENSG00000267640,ENST00000586819,38308566,38317215,41.97,19
ENSG00000215037,ENST00000399480,84481436,84481916,62.79,13
ENSG00000245849,ENST00000533146,40978922,40987294,45.04,15
ENSG00000245849,ENST00000526635,40979921,40987296,45.04,15
ENSG00000245849,ENST00000499988,40985939,40987305,45.04,15
ENSG00000225868,ENST00000592640,38314362,38345836,43.96,19
ENSG00000225868,ENST00000433142,38324008,38345855,43.96,19
ENSG00000225868,ENST00000587395,38324103,38344187,43.96,19
ENSG00000225868,ENST00000592714,38327458,38344165,43.96,19
ENSG00000224188,ENST00000441973,84594462,84594897,34.40,13
ENSG00000228597,ENST00000457501,85094238,85095703,37.52,13
ENSG00000261183,ENST00000565315,41128006,41136530,47.75,15
ENSG00000261183,ENST00000564302,41128191,41136585,47.75,15
ENSG00000261183,ENST00000568419,41128195,41136482,47.75,15
ENSG00000261183,ENST00000568525,41130537,41136498,47.75,15
ENSG00000261183,ENST00000563217,41130749,41132691,47.75,15
ENSG00000229481,ENST00000443870,38320191,38322797,48.02,19
ENSG00000266963,ENST00000590304,38852435,38853124,67.10,19
ENSG00000232447,ENST00000438536,85095860,85098050,39.53,13
ENSG00000267090,ENST00000585411,38876162,38877399,70.19,19
ENSG00000267473,ENST00000588453,38888821,38890521,53.09,19
ENSG00000233349,ENST00000446314,85136499,85137371,33.10,13
ENSG00000267291,ENST00000589557,39086986,39092334,52.44,19
ENSG00000251161,ENST00000503052,41199009,41201540,56.00,15
ENSG00000267375,ENST00000585999,39174513,39184246,49.54,19
ENSG00000226370,ENST00000433074,85639222,85653055,33.69,13
ENSG00000213926,ENST00000396851,39745556,39745909,52.54,19
ENSG00000259405,ENST00000560114,41240934,41241067,50.75,15
ENSG00000244253,ENST00000486345,40079595,40079765,42.11,19
ENSG00000226317,ENST00000424926,85937736,86118705,35.10,13
ENSG00000243581,ENST00000481709,40081621,40081791,40.35,19
ENSG00000259617,ENST00000561388,41291472,41297063,39.91,15
ENSG00000239320,ENST00000477483,40088472,40088642,43.27,19
ENSG00000259463,ENST00000558101,41303795,41305498,40.26,15
ENSG00000228241,ENST00000430903,86543134,86543668,34.77,13
ENSG00000226025,ENST00000412609,40170014,40177008,44.57,19
ENSG00000226025,ENST00000458539,40170033,40175891,44.57,19
ENSG00000226025,ENST00000456368,40175884,40185217,44.57,19
ENSG00000226025,ENST00000455832,40170014,40176361,44.57,19
ENSG00000259521,ENST00000558967,41309005,41316740,41.94,15
ENSG00000259521,ENST00000560178,41316697,41320091,41.94,15
ENSG00000232252,ENST00000445967,86634948,86745025,33.54,13
ENSG00000214181,ENST00000397726,86927755,86929524,44.46,13
ENSG00000240320,ENST00000463711,40188544,40188713,40.59,19
ENSG00000187534,ENST00000314084,40448563,40449634,50.84,19
ENSG00000259547,ENST00000558168,41401076,41401376,43.52,15
ENSG00000230086,ENST00000446052,40627218,40628075,41.26,19
ENSG00000157021,ENST00000528023,41455322,41456695,44.76,15
ENSG00000205041,ENST00000378432,40779396,40781386,57.46,19
ENSG00000231879,ENST00000429528,87377755,87378308,33.75,13
ENSG00000247556,ENST00000558457,41576188,41578624,41.46,15
ENSG00000247556,ENST00000558945,41576188,41590979,41.46,15
ENSG00000247556,ENST00000500949,41576203,41598732,41.46,15
ENSG00000247556,ENST00000561275,41576204,41589488,41.46,15
ENSG00000247556,ENST00000559368,41576206,41580469,41.46,15
ENSG00000247556,ENST00000560706,41576206,41590267,41.46,15
ENSG00000247556,ENST00000560545,41576208,41577887,41.46,15
ENSG00000247556,ENST00000561226,41576219,41579672,41.46,15
ENSG00000247556,ENST00000557993,41576229,41580723,41.46,15
ENSG00000247556,ENST00000501665,41576230,41601901,41.46,15
ENSG00000233622,ENST00000432607,41314430,41317295,59.21,19
ENSG00000237118,ENST00000437853,41324626,41332677,52.65,19
ENSG00000224476,ENST00000496996,41675766,41676071,59.80,19
ENSG00000267107,ENST00000588495,41960074,42006554,43.75,19
ENSG00000239736,ENST00000483806,42106090,42111576,47.38,19
ENSG00000239736,ENST00000473762,42108584,42111870,47.38,19
ENSG00000254887,ENST00000527895,42636707,42641251,56.66,19
ENSG00000254887,ENST00000531517,42638656,42641239,56.66,19
ENSG00000233528,ENST00000457672,87564173,87589062,34.66,13
ENSG00000228074,ENST00000446970,87871259,87871524,50.75,13
ENSG00000259436,ENST00000559786,42656721,42661675,57.17,19
ENSG00000228473,ENST00000445283,88031727,88032513,51.46,13
ENSG00000232636,ENST00000450888,88079469,88080528,37.08,13
ENSG00000230558,ENST00000457904,43057636,43065909,51.96,19
ENSG00000228824,ENST00000436290,88096247,88323218,33.56,13
ENSG00000228824,ENST00000441617,88237113,88323514,33.56,13
ENSG00000228824,ENST00000453832,88267818,88323361,33.56,13
ENSG00000233681,ENST00000434624,43124364,43137186,43.90,19
ENSG00000223404,ENST00000422074,88453291,88456063,36.64,13
ENSG00000231561,ENST00000448037,43158352,43173228,42.11,19
ENSG00000259396,ENST00000559959,41635278,41636423,45.55,15
ENSG00000243167,ENST00000480396,43174157,43174968,52.71,19
ENSG00000259838,ENST00000566760,41849225,41849633,40.10,15
ENSG00000232204,ENST00000426627,88542427,88544727,43.20,13
ENSG00000238092,ENST00000452007,43285358,43290747,41.09,19
ENSG00000231019,ENST00000430214,88795122,88888337,36.01,13
ENSG00000225877,ENST00000425668,43326015,43331030,47.85,19
ENSG00000260926,ENST00000565259,41901664,41904925,46.41,15
ENSG00000248257,ENST00000501199,43348511,43359771,46.73,19
ENSG00000225289,ENST00000448725,88888802,88889224,44.68,13
ENSG00000227349,ENST00000444105,43453655,43454539,49.27,19
ENSG00000260814,ENST00000562063,42063130,42064930,41.20,15
ENSG00000250379,ENST00000510176,42117297,42120134,57.79,15
ENSG00000250379,ENST00000512295,42118224,42120053,57.79,15
ENSG00000236932,ENST00000413902,43540021,43545398,40.96,19
ENSG00000229443,ENST00000424165,89193119,89194761,32.93,13
ENSG00000229443,ENST00000448425,89194540,89197764,32.93,13
ENSG00000230529,ENST00000442990,43600608,43601512,48.84,19
ENSG00000227606,ENST00000419624,43657431,43665014,40.30,19
ENSG00000227606,ENST00000425982,43657665,43659311,40.30,19
ENSG00000174171,ENST00000309874,42184991,42188133,58.22,15
ENSG00000174171,ENST00000563006,42184991,42189585,58.22,15
ENSG00000174171,ENST00000568861,42187183,42188141,58.22,15
ENSG00000174171,ENST00000562920,42187383,42188141,58.22,15
ENSG00000241104,ENST00000489959,43715943,43752798,41.17,19
ENSG00000241104,ENST00000495431,43724140,43725023,41.17,19
ENSG00000261666,ENST00000564593,89279107,89282651,33.40,13
ENSG00000233211,ENST00000453145,89630701,89631039,51.03,13
ENSG00000236123,ENST00000455211,43783085,43788470,41.16,19
ENSG00000232225,ENST00000415193,89867101,89889144,33.07,13
ENSG00000232225,ENST00000445027,89867150,89872813,33.07,13
ENSG00000230681,ENST00000457676,43807323,43808675,47.01,19
ENSG00000260556,ENST00000564432,42189688,42190773,48.71,15
ENSG00000231412,ENST00000435837,43835496,43835559,70.31,19
ENSG00000267058,ENST00000587128,44395956,44405957,39.22,19
ENSG00000267058,ENST00000591815,44405070,44405663,39.22,19
ENSG00000259883,ENST00000564168,42213615,42221081,45.32,15
ENSG00000227247,ENST00000432350,89901072,89902354,33.52,13
ENSG00000246740,ENST00000499478,42264961,42291292,49.53,15
ENSG00000267191,ENST00000586247,44406153,44430697,40.01,19
ENSG00000234660,ENST00000446579,89925457,89932494,33.59,13
ENSG00000266921,ENST00000586860,44501048,44506988,40.23,19
ENSG00000266921,ENST00000589021,44501051,44506985,40.23,19
ENSG00000257797,ENST00000552704,42298330,42302315,48.85,15
ENSG00000261002,ENST00000563846,42500611,42519188,38.94,15
ENSG00000261002,ENST00000561800,42500817,42503531,38.94,15
ENSG00000267144,ENST00000592583,44527756,44529414,39.12,19
ENSG00000225530,ENST00000414049,90013414,90015478,43.92,13
ENSG00000267163,ENST00000591772,44598503,44603864,41.38,19
ENSG00000186019,ENST00000592946,44609616,44617298,39.85,19
ENSG00000186019,ENST00000590369,44616104,44617109,39.85,19
ENSG00000226037,ENST00000425048,90129862,90152763,34.45,13
ENSG00000260571,ENST00000562290,42605885,42606584,44.43,15
ENSG00000267590,ENST00000588007,44801257,44801508,55.56,19
ENSG00000236176,ENST00000434117,90203487,90204643,33.89,13
ENSG00000236176,ENST00000435401,90200945,90206058,33.89,13
ENSG00000267188,ENST00000588655,44896603,44952640,42.10,19
ENSG00000176761,ENST00000561698,44971858,44977444,42.97,19
ENSG00000176761,ENST00000318605,44976363,44977388,42.97,19
ENSG00000258461,ENST00000483208,42640301,42696486,46.11,15
ENSG00000258461,ENST00000549793,42640301,42704515,46.11,15
ENSG00000258461,ENST00000466369,42640301,42704515,46.11,15
ENSG00000258461,ENST00000495723,42640301,42704515,46.11,15
ENSG00000267242,ENST00000591684,44978645,44979403,38.87,19
ENSG00000176395,ENST00000454753,45005729,45033811,45.60,19
ENSG00000176395,ENST00000421432,45010211,45033548,45.60,19
ENSG00000176395,ENST00000448350,45010211,45033548,45.60,19
ENSG00000176395,ENST00000431738,45010211,45033548,45.60,19
ENSG00000176395,ENST00000414638,45010211,45033548,45.60,19
ENSG00000176395,ENST00000445209,45010211,45033548,45.60,19
ENSG00000176395,ENST00000412211,45010211,45033548,45.60,19
ENSG00000176395,ENST00000424903,45010211,45033548,45.60,19
ENSG00000176395,ENST00000316962,45015068,45033811,45.60,19
ENSG00000234227,ENST00000448259,90485411,90486195,42.04,13
ENSG00000215418,ENST00000400284,90644085,90645132,45.61,13
ENSG00000261446,ENST00000569476,90712506,90771973,34.70,13
ENSG00000235879,ENST00000427163,90823120,90824053,38.87,13
ENSG00000224419,ENST00000427733,90882638,90883936,55.35,13
ENSG00000234384,ENST00000426840,91145541,91187334,35.34,13
ENSG00000267614,ENST00000588710,45040251,45040599,39.83,19
ENSG00000231674,ENST00000419272,91543208,91578851,35.52,13
ENSG00000230666,ENST00000446628,45041045,45060150,45.13,19
ENSG00000230666,ENST00000455058,45046785,45052485,45.13,19
ENSG00000230666,ENST00000455455,45050647,45124119,45.13,19
ENSG00000261684,ENST00000564805,42824065,42825038,37.68,15
ENSG00000227983,ENST00000442875,91675986,91676208,39.46,13
ENSG00000261822,ENST00000561902,42859229,42862192,42.68,15
ENSG00000261822,ENST00000567089,42861496,42862192,42.68,15
ENSG00000224366,ENST00000441814,45073550,45073810,52.11,19
ENSG00000234625,ENST00000442478,91739508,91741847,39.53,13
ENSG00000266903,ENST00000590796,45135500,45221903,49.51,19
ENSG00000266903,ENST00000591312,45218833,45221957,49.51,19
ENSG00000266903,ENST00000586169,45219377,45222031,49.51,19
ENSG00000229557,ENST00000438789,91779906,91783619,39.97,13
ENSG00000229557,ENST00000427717,91779867,91783661,39.97,13
ENSG00000236807,ENST00000425131,45268405,45268721,55.52,19
ENSG00000267282,ENST00000585408,45385284,45394133,51.74,19
